country_code,country,tb_incidence,physicians,uhc,spi_overall,spi_pillar5,health_expenditure,physicians_z,uhc_z,spi_overall_z,spi_pillar5_z,health_expenditure_z,HSPI,Preparedness Level,Quadrant
tcd,Chad,120.0,0.085,27.0,52.36583,45.0,4.99708,-1.154363678547223,-2.0548883425261533,-1.143144896313238,-1.0578315801361515,-0.5661777925094692,12.615408481585682,Low,Priority
tgo,Togo,47.0,0.08,44.0,64.42583,60.0,6.1083,-1.157269182176604,-1.3848265063901397,-0.41902449351919724,-0.3914383183858487,-0.22623976002584467,28.233372237809633,Low,Emerging Risk
tha,Thailand,149.0,0.541,99.0,83.57833,85.0,4.53788,-0.8893817475476912,0.7830206105204917,0.730951958762134,0.719217117864656,-0.7066536159436051,55.69599075016547,High,High Burden
tjk,Tajikistan,76.0,1.87,96.0,53.60833,30.0,7.4379,-0.11709888285826578,0.6647744041435482,-1.0685412810170858,-1.7242248418864543,0.18050382629390072,38.0969111496662,Moderate,Priority
tkm,Turkmenistan,41.0,1.93,99.0,30.7175,15.0,5.49789,-0.08223283930569589,0.7830206105204917,-2.442978846513762,-2.3906181036367573,-0.41297287714786307,21.934461954610104,Low,Emerging Risk
tls,Timor-Leste,455.0,0.752,71.0,61.80083,65.0,9.59779,-0.76676949438782,-0.32061064899764796,-0.5766377652716319,-0.16930723113574772,0.8412449549462433,45.08319450042903,Moderate,Priority
ton,Tonga,7.6,1.014,94.0,64.05,45.0,7.36038,-0.6145211042082643,0.5859435998922524,-0.4415905110135662,-1.0578315801361515,0.1567893536619012,42.6135499982781,Moderate,Emerging Risk
tto,Trinidad and Tobago,25.0,4.157,94.0,57.78208,50.0,7.52569,1.2118784772205269,0.5859435998922524,-0.8179361789307156,-0.8357004928860505,0.20736003826969077,53.83554105081592,High,Resilient
tun,Tunisia,38.0,1.315,98.0,75.45458,60.0,7.98538,-0.4396097857195383,0.7436052083948439,0.24317640965781578,-0.3914383183858487,0.3479857596861497,54.826797892370934,High,Resilient
tur,Turkey,14.0,2.236,99.0,78.67708,100.0,4.27524,0.09558398281241122,0.7830206105204917,0.43666546421866104,1.3856103796149588,-0.7869989344687389,64.01256233452547,High,Resilient
tuv,Tuvalu,163.0,1.346,89.0,42.68875,15.0,27.08969,-0.42159566321737707,0.38886658926401324,-1.724187273383732,-2.3906181036367573,6.192266418203128,64.86491926166447,High,High Burden
tza,Tanzania,183.0,0.134,43.0,70.85125,55.0,3.05201,-1.125889742979291,-1.4242419085157876,-0.03322202929690239,-0.6135694056359496,-1.1612024220544055,23.156852404988822,Low,Priority
uga,Uganda,198.0,0.191,42.0,66.6275,75.0,4.236,-1.0927670016043494,-1.4636573106414354,-0.2868292889404617,0.27495494336445414,-0.7990030096245655,29.61105619788582,Low,Priority
ukr,Ukraine,89.0,3.531,97.0,78.41333,95.0,8.20275,0.8481094228220468,0.704189806269196,0.42082908310448774,1.163479292364858,0.4144823401301351,74.67730060427218,High,High Burden
ury,Uruguay,45.0,4.674,99.0,81.10042,75.0,9.01888,1.5123075524985052,0.7830206105204917,0.5821704341114394,0.27495494336445414,0.6641481366878468,76.40683794475123,Very High,Resilient
usa,USA,3.1,3.681,99.0,93.43042,100.0,16.69415,0.9352745317034717,0.7830206105204917,1.3225024877143017,1.3856103796149588,3.012122599513021,100.0,Very High,Resilient
uzb,Uzbekistan,54.0,2.805,96.0,81.99208,95.0,6.74313,0.4262302958359499,0.6647744041435482,0.6357085102603064,1.163479292364858,-0.03203621692764675,70.16354663004793,High,High Burden
vnm,Vietnam,185.0,1.107,94.0,71.62417,50.0,4.56109,-0.5604787367017809,0.5859435998922524,0.013186523085152299,-0.8357004928860505,-0.6995533462094887,41.796748009446695,Moderate,Priority
wsm,Samoa,6.0,0.561,97.0,64.78458,60.0,6.78103,-0.8777597330301679,0.704189806269196,-0.39748401304636455,-0.3914383183858487,-0.02044206686633617,45.1427704214781,Moderate,Emerging Risk
yem,Yemen,38.0,0.098,62.0,37.69458,25.0,9.69559,-1.1468093691108328,-0.6753492681284785,-2.0240529775314857,-1.9463559291365553,0.8711633685609176,19.487668078205736,Low,Emerging Risk
zaf,South Africa,427.0,0.794,77.0,81.7025,85.0,8.90967,-0.742363263901021,-0.08411823624376087,0.6183212145520892,0.719217117864656,0.630739241484794,58.983215544987814,High,High Burden
zmb,Zambia,283.0,0.324,46.0,63.50083,50.0,5.97841,-1.0154806050628191,-1.305995702138844,-0.47456440832719815,-0.8357004928860505,-0.26597496191142794,26.155948282117325,Low,Priority
zwe,Zimbabwe,209.0,0.136,37.0,70.4025,60.0,2.92602,-1.1247275415275384,-1.6607343212696746,-0.060166393372675056,-0.3914383183858487,-1.1997445583663977,22.644296050698017,Low,Priority
